loss,grad_norm,learning_rate,entropy,num_tokens,mean_token_accuracy,epoch,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,eval_entropy,eval_num_tokens,eval_mean_token_accuracy,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
2.542510986328125,0.3984375,0.0001981178176898239,2.4897023856639864,62673.0,0.4645893797278404,0.016842105263157894,10,,,,,,,,,,,,
2.3943119049072266,0.4609375,0.00018687117365181512,2.3686816573143004,120896.0,0.48261511623859404,0.03368421052631579,20,,,,,,,,,,,,
,,,,,,0.03368421052631579,20,2.372299909591675,305.568,0.818,0.105,2.358381435275078,120896.0,0.4881154568865895,,,,,
2.379003715515137,0.44140625,0.00016659152250116812,2.411332982778549,182017.0,0.4873294450342655,0.05052631578947368,30,,,,,,,,,,,,
2.300102424621582,0.431640625,0.00013938757562492873,2.2574879467487334,245188.0,0.49738011211156846,0.06736842105263158,40,,,,,,,,,,,,
,,,,,,0.06736842105263158,40,2.2948062419891357,290.0872,0.862,0.11,2.2664897367358208,245188.0,0.5001410823315382,,,,,
2.2394536972045898,0.435546875,0.00010808804403614043,2.2537214785814284,306147.0,0.5100782439112663,0.08421052631578947,50,,,,,,,,,,,,
2.3320932388305664,0.4765625,7.594750436337467e-05,2.3497159838676454,364411.0,0.49193509221076964,0.10105263157894737,60,,,,,,,,,,,,
,,,,,,0.10105263157894737,60,2.2559378147125244,294.0961,0.85,0.109,2.2582434117794037,364411.0,0.507104555144906,,,,,
2.2338727951049804,0.5390625,4.630798263510162e-05,2.225045529007912,423264.0,0.5134366542100907,0.11789473684210526,70,,,,,,,,,,,,
2.2568038940429687,0.56640625,2.2251444932035094e-05,2.244799035787582,482335.0,0.5087041951715946,0.13473684210526315,80,,,,,,,,,,,,
,,,,,,0.13473684210526315,80,2.235525131225586,289.8878,0.862,0.11,2.214227255433798,482335.0,0.5107262590900064,,,,,
2.3571128845214844,0.55078125,6.2793294993656494e-06,2.320698803663254,543321.0,0.49115600138902665,0.15157894736842106,90,,,,,,,,,,,,
2.117716979980469,0.57421875,5.2443095448506674e-08,2.156465616822243,601754.0,0.5298776477575302,0.16842105263157894,100,,,,,,,,,,,,
,,,,,,0.16842105263157894,100,2.2304389476776123,290.8268,0.86,0.11,2.2455777525901794,601754.0,0.5118500664830208,,,,,
,,,,,,0.16842105263157894,100,,,,,,,,3939.1421,0.203,0.025,1.2280251973214208e+16,2.315298252105713
